543,どうやって,,how; by what means,10
544,どちら,,which,10
545,どのぐらい,,how much; how long,10
546,はやく,早く,(do something) early; fast,10
547,おかし,お菓子,snack; sweets,11
548,おしょうがつ,お正月,New Year's,11
549,おとこのこ,男の子,boy,11
550,おもちゃ,,toy,11
551,おんなのこ,女の子,girl,11
552,がいこく,外国,foreign country,11
553,かしゅ,歌手,singer,11
554,キャンプ,,camp,11
555,こちら,,this person (polite),11
556,こんがっき,今学期,this semester,11
557,しゃちょう,社長,president of a company,11
558,じゅぎょう,授業,class,11
559,しょうらい,将来,future,11
560,ドライブ,,drive,11
561,ビール,,beer,11
562,びじゅつかん,美術館,art museum,11
563,ホストファミリー,,host family,11
564,みずうみ,湖,lake,11
565,やま,山,mountain,11
566,ゆめ,夢,dream,11
567,ルームメート,,roommate,11
568,うそをつく,,to tell a lie,11
569,おなかがすく,,to become hungry,11
570,かう,飼う,to own (a pet),11
571,サボる,,to cut classes,11
572,とる,取る,to take (a class); to get (a grade),11
573,ならう,習う,to learn,11
574,のぼる,登る,to climb,11
575,はたらく,働く,to work,11
576,つかれる,疲れる,to get tired,11
577,やめる,,to quit,11
578,けんかする,,to have a fight; to quarrel,11
579,しょうかいする,紹介する,to introduce,11
580,ダイエットする,,to go on a diet,11
581,ちこくする,遅刻する,to be late (for an appointment),11
582,りゅうがくする,留学する,to study abroad,11
583,あと,後,after (an event),11
584,しゅっしん,出身,coming from,11
585,すごく,,very,11
586,そして,,and then,11
587,ひさしぶり,久しぶり,it has been a long time,11
588,まあまあ,,okay; so-so,11
589,もっと,,more,11
590,あし,足,leg; foot,12
591,いみ,意味,meaning,12
592,おなか,,stomach,12
593,かぜ,風,cold,12
594,かのじょ,彼女,girlfriend,12
595,かれ,彼,boyfriend,12
596,きおん,気温,temperature (weather),12
597,くもり,曇り,cloudy weather,12
598,しあい,試合,match; game,12
599,ジュース,,juice,12
600,せいせき,成績,"grade (on a test, etc.)",12
601,せき,咳,cough,12
602,のど,,throat,12
603,は,歯,tooth,12
604,はな,花,flower,12
605,はれ,晴れ,sunny weather,12
606,ふく,服,clothes,12
607,ふつかよい,二日酔い,hangover,12
608,プレゼント,,present,12
609,ホームシック,,homesickness,12
610,もの,物,thing (concrete object),12
611,ゆき,雪,snow,12
612,ようじ,用事,business to take care of,12
613,あまい,甘い,sweet,12
614,いたい,痛い,hurt; painful,12
615,おおい,多い,there are many...,12
616,せまい,狭い,narrow; not spacious,12
617,つごうがわるい,都合が悪い,inconvenient; to have a scheduling conflict,12
618,わるい,悪い,bad,12
619,すてき,素敵,fantastic,12
620,かぜをひく,風邪をひく,to catch a cold,12
621,きょうみがある,興味がある,to be interested (in ...),12
622,なくす,,to lose,12
623,のどがかわく,のどが渇く,to become thirsty,12
624,ねつがある,熱がある,to have a fever,12
625,せきがでる,せきが出る,to cough,12
626,わかれる,別れる,to break up; to separate,12
627,きんちょうする,緊張する,to get nervous,12
628,しんぱいする,心配する,to worry,12
629,いつも,,always,12
630,おだいじに,お大事に,Get well soon.,12
631,げんきがない,元気がない,don't look well,12
632,たぶん,多分,probably; maybe,12
633,できるだけ,,as much as possible,12
634,にさんにち,二三日,for two to three days,12
635,はじめて,初めて,for the first time,12
636,もうすぐ,,very soon; in a few moments/days,12
637,ウェイター,,waiter,13
638,おじいさん,,grandfather; old man,13
639,おとな,大人,adult,13
640,がいこくご,外国語,foreign language,13
641,がっき,楽器,musical instrument,13
642,からて,空手,karate,13
643,カレー,,curry,13
644,きもの,着物,kimono; Japanese traditional dress,13
645,ケーキ,,cake,13
646,こうこく,広告,advertisement,13
647,こうちゃ,紅茶,tea (black tea),13
648,ことば,言葉,language,13
